date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
16/09/2017,New Zealand,South Africa,57,0,2017 Rugby Championship,North Harbour Stadium,Albany,New Zealand,FALSE,FALSE
30/09/2017,South Africa,Australia,27,27,2017 Rugby Championship,Free State Stadium,Bloemfontein,South Africa,FALSE,FALSE
30/09/2017,Argentina,New Zealand,10,36,2017 Rugby Championship,José Amalfitani Stadium,Buenos Aires,Argentina,FALSE,FALSE
07/10/2017,Argentina,Australia,20,37,2017 Rugby Championship,Estadio Malvinas Argentinas,Mendoza,Argentina,FALSE,FALSE
07/10/2017,South Africa,New Zealand,24,25,2017 Rugby Championship,Newlands,Cape Town,South Africa,FALSE,FALSE
21/10/2017,Australia,New Zealand,23,18,2017 Autumn International,Lang Park,Brisbane,Australia,FALSE,FALSE
11/11/2017,Wales,Australia,21,29,2017 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
11/11/2017,Ireland,South Africa,38,3,2017 end-of-year test,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
11/11/2017,England,Argentina,21,8,2017 Autumn International,Twickenham,London,England,FALSE,FALSE
11/11/2017,France,New Zealand,18,38,2017 end-of year test,Stade de France,Saint-Denis,France,FALSE,FALSE
18/11/2017,Scotland,New Zealand,17,22,2017 Autumn International,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
18/11/2017,Italy,Argentina,15,31,2017 end of year test,Stadio Artemio Franchi,Florence,Italy,FALSE,FALSE
18/11/2017,France,South Africa,17,18,2017 end-of-year test,Stade de France,Saint-Denis,France,FALSE,FALSE
18/11/2017,England,Australia,30,6,2017 Autumn International,Twickenham Stadium,London,England,FALSE,FALSE
25/11/2017,Scotland,Australia,53,24,2017 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
25/11/2017,Ireland,Argentina,28,19,2017 Autumn Internationals,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
25/11/2017,Wales,New Zealand,18,33,2017 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
25/11/2017,Italy,South Africa,6,35,2017 end-of-year test,Stadio Euganeo,Padua,Italy,FALSE,FALSE
02/12/2017,Wales,South Africa,24,22,2017 end-of-year test,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
03/02/2018,Wales,Scotland,34,7,2018 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
03/02/2018,France,Ireland,13,15,2018 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
04/02/2018,Italy,England,15,46,2018 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
10/02/2018,England,Wales,12,6,2018 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
10/02/2018,Ireland,Italy,56,19,2018 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
11/02/2018,Scotland,France,32,26,2018 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
23/02/2018,France,Italy,34,17,2018 Six Nations Championship,Stade Vélodrome,Marseille,France,FALSE,FALSE
24/02/2018,Ireland,Wales,37,27,2018 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
24/02/2018,Scotland,England,25,13,2018 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
10/03/2018,Ireland,Scotland,28,8,2018 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
10/03/2018,France,England,22,16,2018 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
11/03/2018,Wales,Italy,38,14,2018 Six Nations,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
17/03/2018,Italy,Scotland,27,29,2018 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
17/03/2018,Wales,France,14,13,2018 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
17/03/2018,England,Ireland,15,24,2018 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
02/06/2018,South Africa,Wales,20,22,2018 mid-year test,RFK Stadium,Washington,United States,TRUE,FALSE
09/06/2018,New Zealand,France,52,11,2018 French tour to New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
09/06/2018,Australia,Ireland,18,9,2018 Ireland tour of Australia,Lang Park,Brisbane,Australia,FALSE,FALSE
09/06/2018,Argentina,Wales,10,23,2018 Wales tour of Argentina and North America,Estadio San Juan del Bicentenario,San Juan,Argentina,FALSE,FALSE
09/06/2018,South Africa,England,42,39,2018 England rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
16/06/2018,Australia,Ireland,21,26,2018 Ireland tour of Australia,Melbourne Rec. Stadium,Melbourne,Australia,FALSE,FALSE
16/06/2018,New Zealand,France,26,13,2018 French tour to New Zealand,Westpac Stadium,Wellington,New Zealand,FALSE,FALSE
16/06/2018,Argentina,Wales,12,30,2018 Wales tour of Argentina and North America,Estadio Centenario,Resistencia,Argentina,FALSE,FALSE
16/06/2018,South Africa,England,23,12,2018 England rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,FALSE,FALSE
23/06/2018,New Zealand,France,49,14,2018 French tour to New Zealand,Forsyth Barr Stadium,Dunedin,New Zealand,FALSE,FALSE
23/06/2018,South Africa,England,10,25,2018 England rugby union tour of South Africa,Newlands,Cape Town,South Africa,FALSE,FALSE
23/06/2018,Argentina,Scotland,15,44,2018 Summer International,Estadio Centenario,Resistencia,Argentina,FALSE,FALSE
23/06/2018,Australia,Ireland,16,20,2018 Ireland tour of Australia,Stadium Australia,Sydney,Australia,FALSE,FALSE
18/08/2018,South Africa,Argentina,34,21,2018 Rugby Championship,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
18/08/2018,Australia,New Zealand,13,38,2018 Rugby Championship,Stadium Australia,Sydney,Australia,FALSE,FALSE
25/08/2018,New Zealand,Australia,40,12,2018 Rugby Championship,Eden Park,Auckland,New Zealand,FALSE,FALSE
25/08/2018,Argentina,South Africa,32,19,2018 Rugby Championship,Malvinas Argentinas,Mendoza,Argentina,FALSE,FALSE
08/09/2018,Australia,South Africa,23,18,2018 Rugby Championship,Lang Park,Brisbane,Australia,FALSE,FALSE
08/09/2018,New Zealand,Argentina,46,24,2018 Rugby Championship,Trafalgar Park,Nelson,New Zealand,FALSE,FALSE
15/09/2018,New Zealand,South Africa,34,36,2018 Rugby Championship,Westpac Stadium,Wellington,New Zealand,FALSE,FALSE
15/09/2018,Australia,Argentina,19,23,2018 Rugby Championship,Robina Stadium,Gold Coast,Australia,FALSE,FALSE
29/09/2018,Argentina,New Zealand,17,35,2018 Rugby Championship,José Amalfitani Stadium,Buenos Aires,Argentina,FALSE,FALSE
29/09/2018,South Africa,Australia,23,12,2018 Rugby Championship,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,FALSE,FALSE
06/10/2018,Argentina,Australia,34,45,2018 Rugby Championship,Estadio Padre Ernesto Martearena,Salta,Argentina,FALSE,FALSE
06/10/2018,South Africa,New Zealand,30,32,2018 Rugby Championship,Loftus Versfeld Stadium,Pretoria,South Africa,FALSE,FALSE
27/10/2018,New Zealand,Australia,37,20,2018 Autumn International,Nissan Stadium,Yokohama,Japan,TRUE,FALSE
03/11/2018,England,South Africa,12,11,2018 Autumn International,Twickenham,London,England,FALSE,FALSE
03/11/2018,Ireland,Italy,54,7,2018 Autumn Internationals,Soldier Field,Chicago,United States,TRUE,FALSE
03/11/2018,Wales,Scotland,21,10,2018 Autumn international,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
10/11/2018,Ireland,Argentina,28,17,2018 Autumn Internationals,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
10/11/2018,England,New Zealand,15,16,2018 Autumn International,Twickenham,London,England,FALSE,FALSE
10/11/2018,France,South Africa,26,29,2018 end-of-year test,Stade de France,Saint-Denis,France,FALSE,FALSE
10/11/2018,Wales,Australia,9,6,2018 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
17/11/2018,France,Argentina,28,13,2018 Autumn International,Stade Pierre-Mauroy,Lille,France,FALSE,FALSE
17/11/2018,Ireland,New Zealand,16,9,2018 Autumn International,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
17/11/2018,Scotland,South Africa,20,26,2018 Autumn International,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
17/11/2018,Italy,Australia,7,26,2018 Autumn International,Stadio Euganeo,Padova,Italy,FALSE,FALSE
24/11/2018,Wales,South Africa,20,11,2018 end-of-year test,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
24/11/2018,Scotland,Argentina,14,9,2018 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
24/11/2018,Italy,New Zealand,3,66,2018 end-of-year internationals,Stadio Olimpico,Rome,Italy,FALSE,FALSE
24/11/2018,England,Australia,37,18,2018 Autumn International,Twickenham Stadium,London,England,FALSE,FALSE
01/02/2019,France,Wales,19,24,2019 Six Nations Championship,Stade de France,Paris,France,FALSE,FALSE
02/02/2019,Scotland,Italy,33,20,2019 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
02/02/2019,Ireland,England,20,32,2019 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
09/02/2019,Italy,Wales,15,26,2019 Six Nations,Stadio Olimpico,Rome,Italy,FALSE,FALSE
09/02/2019,Scotland,Ireland,13,22,2019 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
10/02/2019,England,France,44,8,2019 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
23/02/2019,France,Scotland,27,10,2019 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
23/02/2019,Wales,England,21,13,2019 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
24/02/2019,Italy,Ireland,16,26,2019 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
09/03/2019,England,Italy,57,14,2019 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
09/03/2019,Scotland,Wales,11,18,2019 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
10/03/2019,Ireland,France,26,14,2019 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
16/03/2019,Italy,France,14,25,2019 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
16/03/2019,Wales,Ireland,25,7,2019 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
16/03/2019,England,Scotland,38,38,2019 Six Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
20/07/2019,Argentina,New Zealand,16,20,2019 Rugby Championship,José Amalfitani Stadium,Buenos Aires,Argentina,FALSE,FALSE
20/07/2019,South Africa,Australia,35,17,2019 Rugby Championship,Ellis Park Stadium,Johannesburg,South Africa,FALSE,FALSE
27/07/2019,Australia,Argentina,16,10,2019 Rugby Championship,Suncorp Stadium,Brisbane,Australia,FALSE,FALSE
27/07/2019,New Zealand,South Africa,16,16,2019 Rugby Championship,Westpac Stadium,Wellington,New Zealand,FALSE,FALSE
10/08/2019,Ireland,Italy,29,10,2019 Rugby World Cup warm-up tests,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
10/08/2019,Australia,New Zealand,47,26,2019 Rugby Championship,Perth Stadium,Perth,Australia,FALSE,FALSE
10/08/2019,Argentina,South Africa,13,46,2019 Rugby Championship,Estadio Padre Ernesto Martearena,Salta,Argentina,FALSE,FALSE
11/08/2019,England,Wales,33,19,2019 Rugby World Cup warm-up,Twickenham,London,England,FALSE,FALSE
17/08/2019,France,Scotland,32,3,2019 Rugby World Cup warm-up,Allianz Riviera,Nice,France,FALSE,FALSE
17/08/2019,Wales,England,13,6,2019 Rugby World Cup warm-up,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
17/08/2019,New Zealand,Australia,36,0,2019 Rugby World Cup warm-up match,Eden Park,Auckland,New Zealand,FALSE,FALSE
17/08/2019,South Africa,Argentina,24,18,2019 Rugby World Cup warm-up match,Loftus Versfeld Stadium,Pretoria,South Africa,FALSE,FALSE
24/08/2019,England,Ireland,57,15,2019 Rugby World Cup Warm-up,Twickenham,London,England,FALSE,FALSE
24/08/2019,Scotland,France,17,14,2019 Rugby World Cup warm-up,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
30/08/2019,France,Italy,47,19,2019 Rugby World Cup warm-up match,Stade de France,Saint-Denis,France,FALSE,FALSE
31/08/2019,Wales,Ireland,17,22,2019 Rugby World Cup warm-up tests,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
06/09/2019,England,Italy,37,0,2019 Rugby World Cup Warm-up,St James' Park,Newcastle upon Tyne,England,FALSE,FALSE
07/09/2019,Ireland,Wales,19,10,2019 Rugby World Cup warm-up tests,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
21/09/2019,France,Argentina,23,21,2019 Rugby World Cup Pool match,Tokyo Stadium,Tokyo,Japan,TRUE,TRUE
21/09/2019,New Zealand,South Africa,23,13,2019 Rugby World Cup Pool B,International Stadium Yokohama,Yokohama,Japan,TRUE,TRUE
22/09/2019,Ireland,Scotland,27,3,2019 Rugby World Cup,International Stadium Yokohama,Yokohama,Japan,TRUE,TRUE
29/09/2019,Australia,Wales,25,29,2019 Rugby World Cup Pool match,Tokyo Stadium,Tokyo,Japan,TRUE,TRUE
04/10/2019,South Africa,Italy,49,3,2019 Rugby World Cup,Shizuoka Stadium Ecopa,Fukuroi,Japan,TRUE,TRUE
05/10/2019,England,Argentina,39,10,2019 Rugby World Cup Pool match,Tokyo Stadium,Tokyo,Japan,TRUE,TRUE
19/10/2019,New Zealand,Ireland,46,14,2019 Rugby World Cup Quarter-final,Tokyo Stadium,Tokyo,Japan,TRUE,TRUE
19/10/2019,England,Australia,40,16,2019 Rugby World Cup Quarter-final,Ōita Stadium,Ōita,Japan,TRUE,TRUE
20/10/2019,Wales,France,20,19,2019 Rugby World Cup Quarter-finals,Ōita Stadium,Ōita,Japan,TRUE,TRUE
26/10/2019,England,New Zealand,19,7,2019 Rugby World Cup Semi-final,Nissan Stadium,Yokohama,Japan,TRUE,TRUE
27/10/2019,Wales,South Africa,16,19,2019 Rugby World Cup Semi-final,International Stadium Yokohama,Yokohama,Japan,TRUE,TRUE
01/11/2019,New Zealand,Wales,40,17,2019 Rugby World Cup Bronze Final,Tokyo Stadium,Tokyo,Japan,TRUE,TRUE
02/11/2019,England,South Africa,12,32,2019 Rugby World Cup Final,International Stadium Yokohama,Yokohama,Japan,TRUE,TRUE
01/02/2020,Ireland,Scotland,19,12,2020 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
01/02/2020,Wales,Italy,42,0,2020 Six Nations,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
02/02/2020,France,England,24,17,2020 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
08/02/2020,Scotland,England,6,13,2020 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
08/02/2020,Ireland,Wales,24,14,2020 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
09/02/2020,France,Italy,35,22,2020 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
22/02/2020,Wales,France,23,27,2020 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
22/02/2020,Italy,Scotland,0,17,2020 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
23/02/2020,England,Ireland,24,12,2020 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
07/03/2020,England,Wales,33,30,2020 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
08/03/2020,Scotland,France,28,17,2020 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
11/10/2020,New Zealand,Australia,16,16,2020 Autumn International,Wellington Regional Stadium,Wellington,New Zealand,FALSE,FALSE
18/10/2020,New Zealand,Australia,27,7,2020 Autumn International,Eden Park,Auckland,New Zealand,FALSE,FALSE
24/10/2020,Ireland,Italy,50,17,2020 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
24/10/2020,France,Wales,38,21,2020 Autumn International,Stade de France,Paris,France,FALSE,FALSE
31/10/2020,Wales,Scotland,10,14,2020 Six Nations Championship,Parc y Scarlets,Llanelli,Wales,FALSE,FALSE
31/10/2020,France,Ireland,35,27,2020 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
31/10/2020,Italy,England,5,34,2020 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
31/10/2020,Australia,New Zealand,5,43,2020 Tri Nations Series,Stadium Australia,Sydney,Australia,FALSE,FALSE
07/11/2020,Australia,New Zealand,24,22,2020 Tri Nations Series,Lang Park,Brisbane,Australia,FALSE,FALSE
13/11/2020,Ireland,Wales,32,9,Autumn Nations Cup,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
14/11/2020,New Zealand,Argentina,15,25,2020 Tri Nations Series,Bankwest Stadium,Sydney,Australia,TRUE,FALSE
14/11/2020,Italy,Scotland,17,28,Autumn Nations Cup,Stadio Artemio Franchi,Florence,Italy,FALSE,FALSE
21/11/2020,England,Ireland,18,7,Autumn Nations Cup,Twickenham,London,England,FALSE,FALSE
21/11/2020,Australia,Argentina,15,15,2020 Tri Nations Series,McDonald Jones Stadium,Newcastle,Australia,FALSE,FALSE
22/11/2020,Scotland,France,15,22,Autumn Nations Cup,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
28/11/2020,Argentina,New Zealand,0,38,2020 Tri Nations Series,McDonald Jones stadium,Newcastle,Australia,TRUE,FALSE
28/11/2020,France,Italy,36,5,Autumn Nations Cup,Stade de France,Saint-Denis,France,FALSE,FALSE
28/11/2020,Wales,England,13,24,Autumn Nations Cup,Parc y Scarlets,Llanelli,Wales,FALSE,FALSE
05/12/2020,Ireland,Scotland,31,16,Autumn Nations Cup,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
05/12/2020,Wales,Italy,38,18,Autumn Nations Cup,Parc y Scarlets,Llanelli,Wales,FALSE,FALSE
05/12/2020,Australia,Argentina,16,16,2020 Tri Nations Series,Bankwest Stadium,Sydney,Australia,FALSE,FALSE
06/12/2020,England,France,22,19,Autumn Nations Cup Final,Twickenham,London,England,FALSE,FALSE
06/02/2021,Italy,France,10,50,2021 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
06/02/2021,England,Scotland,6,11,2021 Six Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
07/02/2021,Wales,Ireland,21,16,2021 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
13/02/2021,Scotland,Wales,24,25,2021 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
13/02/2021,England,Italy,41,18,2021 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
14/02/2021,Ireland,France,13,15,2021 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
27/02/2021,Italy,Ireland,10,48,2021 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
27/02/2021,Wales,England,40,24,2021 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
13/03/2021,England,France,23,20,2021 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
13/03/2021,Italy,Wales,7,48,2021 Six Nations,Stadio Olimpico,Rome,Italy,FALSE,FALSE
14/03/2021,Scotland,Ireland,24,27,2021 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
20/03/2021,France,Wales,32,30,2021 Six Nations Championship,Stade de France,Paris,France,FALSE,FALSE
20/03/2021,Ireland,England,32,18,2021 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
20/03/2021,Scotland,Italy,52,10,2021 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
26/03/2021,France,Scotland,23,27,2021 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
07/07/2021,Australia,France,23,21,2021 France tour of Australia,Lang Park,Brisbane,Australia,FALSE,FALSE
10/07/2021,Wales,Argentina,20,20,2021 Argentina tour of Europe,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
13/07/2021,Australia,France,26,28,2021 France tour of Australia,Melbourne Rectangular Stadium,Melbourne,Australia,FALSE,FALSE
17/07/2021,Australia,France,33,30,2021 France tour of Australia,Lang Park,Brisbane,Australia,FALSE,FALSE
17/07/2021,Wales,Argentina,33,11,2021 Argentina tour of Europe,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
07/08/2021,New Zealand,Australia,33,25,2021 Summer International,Eden Park,Auckland,New Zealand,FALSE,FALSE
14/08/2021,New Zealand,Australia,57,22,2021 Rugby Championship,Eden Park,Auckland,New Zealand,FALSE,FALSE
14/08/2021,South Africa,Argentina,32,12,2021 Rugby Championship,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,FALSE,FALSE
